userName,content,score,at
Galaxy Gaming,"Gamenya emang menarik, sayangnya energinya boros banget meskipun nonton iklan dapet 10 energi itu juga mengurangi mood bermain game ini, rata rata pemain ini komplain tentang energi yang boros, namun developernya malah tidak mendengarkan tentang pemainnya, meskipun ada yang membeli energi dengan uang, namun apa daya yang tidak mempunyai uang untuk membeli energi, terimakasih",1,2024-06-26 02:01:41
Feronika Floren Fraulaine,Love it!,5,2024-06-15 11:25:16
Rezki Norhidayah,"Gamenya bagus, storynya menarik, tapi ketika saya melakukan topup energi entah kenapa tiba-tiba ada bug, mohon diperbaiki.",4,2024-05-31 10:50:41
Cloud Zura,"Woy lahh nungguinya energi supaya bisa mainnya tuh lama banget. Jadi kalau mau gratis sehari cuma bisa main berapa ,enit doang karena selebihnya nunggu energi buat full dan itu lama banget",4,2024-05-29 16:58:04
Jnsnow,love it,5,2024-05-15 07:59:26
Rifal Saputra,"great game, i love it!",5,2024-05-14 17:27:08
Retno emawati,the app always stop when I want to open my home. I cant decorate my home. fix the bug please I love this game,3,2024-05-11 14:23:56
Afia Maulida,"Bagus, recommended",5,2024-05-11 06:55:43
Aprilia Christina,love this game !! 💙💙,5,2024-05-11 02:43:03
Andik Kriswanto,"Saya sangat suka game ini, bahkan sudah mengikutinya dari awal S1. Tolong tambahkan bahasa Indonesia agar lebih lengkap dan bagus!",3,2024-05-06 02:24:08
Mega Lestari,It would be fun to play it without energy,1,2024-05-03 03:53:10
Andi Saskia Amelia,Ngisi energinya lama bnget trs cepet jga abisnya tpi yang lainnya si udh bgus tpi kadang suka kesel aja klau lagi mau main tpi energinya msh 30an,3,2024-04-24 04:13:39
monaa,"sebenarnya gamenya bagus alurnya juga menarik, cuma masalah ngisi energinya lama banget, kalo udah di update nanti balik lagi",3,2024-04-20 17:26:37
Fathiyah Yaya,seru gamenya,5,2024-04-13 04:32:54
Oxa Purba,Keren sih pernah main di komputer,5,2024-04-11 06:32:17
Reza Kentang,bagus,5,2024-04-09 14:36:48
Mega Uli Nova,Cukup baik,4,2024-04-08 14:56:04
Kristik Jo,mantap,5,2024-04-07 19:34:16
Ina Nina,good,5,2024-03-25 08:48:39
Gita Wmn,"sangat bagus ,, aku suka",5,2024-03-24 22:21:06
Bagas Wahyu,Game yang sangat bagus tapi terlalu boros energi dan biaya energi di luar kesanggupan (terimakasih atas perhatian yang diberikan),4,2024-03-12 08:28:36
Tresno Naga mas,"bagus dgn grafik, dan dub yang sangat pas dan sempurna",5,2024-03-07 07:51:41
Dody Satrio,ok,5,2024-02-21 10:35:05
zuwi wenwe,nice game,5,2024-02-05 00:34:28
Nedi Juhaeni,Game bagus dan teka-teki nya sulit,5,2024-02-04 19:16:18
Ramadani Ritonga,👍,5,2024-02-04 03:29:55
Devita P.A,"grafiknya buagus poll, alurnya gak ketebak, gamenya asikk bangettt, terbaik la",5,2024-01-31 20:09:31
Duo Raza,Love your game. Game but i feel like watching thriller movie 😆😆😆.,5,2024-01-30 06:13:21
Hari Yati,"Bagus sekali game ini aku seakan akan ikut didalamnya.Selain ada teksnya juga ada suaranya,mantap.",5,2024-01-24 21:04:35
Asyera Tendean,👍🏻,5,2024-01-22 22:58:48
Maya Valentina (Panda Mischa),Gamenya uda bagus bgt dari story juga grafik cuma bwt dapetin staminanya lama banget T.T,4,2024-01-18 15:06:14
Rizki Rahmad,"I love this game. Btw, when will you release the next chapter? Can't wait to play it.",5,2024-01-16 15:50:35
Fransisca Fradelia,"bagus,akan tetapi layarnya tiba-tiba hitam di saat mencari bukti pendukungnya.",2,2024-01-13 08:17:18
Haru,"Overall semuanya dah bagus. Tapi susah dapetin energinya, tiap mau nonton video gagal terus mana pake hint butuhnya 10 energi, coba kalau sama semua cuma butuh 5 energi. Terus pas mau ke my home juga ga bisa, langsung keluar dari aplikasinya tiap nyoba buka my home. Semoga dibenerin sama developernya",4,2024-01-12 22:24:49
Qorri Hazurah,Kenapa ya tidak bisa di mainkan? Katanya kesalahan internal,2,2024-01-06 06:36:31
Maysa Putri,"Nyesel setelah update malah gak bisa masuk ke gamenya, eror terussss. Padahal aku udah susah payah buat nyelesian misi²nya, sekarang malah gak bisa di buka gamenya 😥",1,2024-01-06 04:13:15
Bryan Almanafidz,"Saya Sangat Menyukai Game Ini. Cerita Yang Selalu Membuat Penasaran Di Tambah Karakter Anna Myers Yang Cantik. Tetapi Sayang Sekali, Saya Merasa Kurang Puas, Saya Pernah Membahas Masalah Energi Tetapi Sepertinya Kurang Di Respon Dengan Baik Karena Masih Sama Dan Tidak Ada Perubahan Terkait Energi Yang Cepat Habis.... Sekarang Di Tambah Dengan Fitur My Home Yang Tidak Dapat Saya Mainkan Dan Itu Sangat Mengecewakan, Setiap Kali Saya Membuka My Home Sudah Pasti Akan Keluar Sendiri Dari Gamenya",2,2024-01-05 14:46:48
edelweis Celesta,Awal mainnya bagus tapi kok tiba tiba ada error gitu ya nggak selesai selesai padahal Udh 2 hari,2,2023-12-30 03:06:23
Ansarul CPS,Error di Chapter Unforgiven... Tdk bisa melanjutkan permainan....,3,2023-12-30 00:43:47
maulana yusuf,good,5,2023-12-28 01:54:24
Dima Saadah,The games were cool but after updating it forced close many times please fix it,2,2023-12-23 15:41:16
Abe's Roll Game,cool,5,2023-12-16 02:22:12
Fatch imon,"Cerita dan grafis yang disajikan luar biasa! Krisis energi memiliki solusi tambahan dengan ""sistem pengisian energi sinergis"" (mendapatkan bonus energi di game utama saat memainkan game lainnya di dev yang sama). Kalian bisa mengunduh game Murder by choice jika menyukai tema ini. Nilai pribadi saya adalah 4 untuk game ini.",4,2023-12-12 15:40:53
Wanita Korbanmu,Geme ini sangat bagus cuma minusnya energi nya cepat habis jadi susah apa lg video nya sangat lambat,5,2023-11-19 20:51:45
Noni Kitu_ludji,"Bagus, seru dan gak rumit.. Tapi energy terlalu cepat habis dan sangat lama untuk bisa penuh.. Untuk bisa bermain juga menggunakan energy trlalu banyak.. Boros energy, sekarang udah bisa dpt energy dgn nonton video..",1,2023-11-16 00:55:30
Meta Sello paramitha,sangat seru gamenya,5,2023-11-14 07:18:47
Rois Ilmi akbar,⭐⭐⭐⭐⭐⭐,5,2023-11-04 17:00:55
Faradila Azzahra Suri,"Bagusss banget, grafiknya oke, ceritanya menarik, tapi minusnya cuma boros energi sih, ga bisa asal asalan pilih barang pas finding object karena langsung berkurang energinya. Mungkin lebih bagus energinya bisa lebih cepet keisi",5,2023-10-17 05:14:46
Mila Kamila,"good... like it But for the energy, please make it 1 minute for 10 energy, because it so boring to waiting until the energy full again",4,2023-10-09 10:37:30
Gunawan Gusyanto,Main game ini.... Kudu harus sabar.... Gamenya bagus banget.... 👍🤝,5,2023-10-05 10:54:14
Afif Khalil,"Tidak ada teks Indonesia,saya kesulitan untuk memahami alur kisahnya",1,2023-10-04 16:03:16
Key Beat,"Game nya seru , tapi energinya sangat cepet2 abis .. nonton video juga ada batasannya , ini game maksa ngeluarin duit buat isi energi ... Gak sudi buang2 duit buat game ... Menuju uninstalll !!!!!!!!!!!!!!!!!!!",1,2023-09-30 10:48:23
Aldi Ad,Aku harap akan ada bahasa Indonesia,5,2023-09-28 14:38:14
antie cecilia,Freeze screen is very annoying,5,2023-09-28 11:10:54
Ahmad Adityo,please speed up the energy replenishment,5,2023-09-18 01:47:23
Ridhayati Ningrum,gak ada bahasa indonesia jadi susah mainnya,3,2023-09-10 06:11:10
Avrill,loadingnya lama!!!,5,2023-09-08 15:43:06
Devi Mahmudha,"Gamenya seru sih, tapi energinya yang cepet habis, ini yang bikin gamenya gak enak. The game is fun, but the energy runs out quickly which makes this game really lacking Have to wait a long time for the energy to be replenished, we need a lot of time. This makes me BORED, sorry",2,2023-09-05 07:13:28
Benny tho,"In terms of gameplay, it is very exciting and challenging. Games with mystery are presented in a very unique way and are enough to sharpen the mind, the mini games are also very good. The graphics are very comfortable Mixing comics and carrying dialogue with a distinctive accent really brings players into the story.Everything was perfect, while playing I really liked Anna's character, as if I was one with her mind. The gameplay is very satisfying.",5,2023-09-03 10:10:24
ARZUROS,Speed up the Energy!!!,4,2023-08-22 13:23:02
Ilham,seru,5,2023-08-15 12:54:43
dhimas wicaksana,"Energy boros dan pengisian energy kembali lama sekali, yang akhirnya mengarahkan untuk pembelian energy",3,2023-08-06 01:32:42
Iwan Hussen,keren,5,2023-07-28 15:39:28
Novita Saraswati,mantap,5,2023-07-14 20:42:20
Irene Felicia Xaviera,This game is amazing but cmon 1 energy per 8 minutes? just doesn't make sense,2,2023-07-09 16:28:00
Antonius Huan Chandra,good luck,5,2023-07-05 10:37:15
Vio Ganteng,ok,5,2023-07-02 12:35:10
Blue Gray,"terlepas dari energi yang boros ada banyak kelebihan mulai dari alur cerita, art , vibes , over all bagus, aku suka. minusnya cuman satu ""part 2 yang gak ada hilalnya"" udah 3 tahun nungguin sampai lumutan, sekarang mau download lagi, semoga ada.",5,2023-06-30 08:05:02
Baruna Giant,Saya sangat suka game misteri dari Nordcurrent namun sayang sekali energi dari karakter yang saya mainkan cepat sekali habis padahal sayang baru buka game 6menit kemudian energinya habis.....mohon developer tolong update berikutnya supaya energi tidak boros karena sangat mengganggu dalam bermain game.....sekian saja thankyou,3,2023-06-28 23:04:08
Noval 2023,Lumayan,3,2023-06-28 10:42:43
Aleeya Keinara,"Gamenya bagus, good, tp energinya boros parah...sorry bintangnya diturunkan lagi,energinya sangat boros,,gamenya jadi sangat tidak menyenangkan dimainkan walaupun bagus...diperbaiki lagi lah",3,2023-06-27 18:29:12
Sintia Zahra Mujaranti,NORDCURRENT PLEASE RELEASE THE 'FORGOTTEN MOMENTO' EPISODE QUICKLYYY!! 🥰,5,2023-06-24 16:27:17
Nuri zati Akbar,"Saya masih memulai game ini, tapi saya berharap mndapatkan pengalaman game yang menyenangkan, saya juga memainkan game lain dari developer ini, saya juga memainkan murder of choice, jadi saya yakin game murder in alps juga pasti menyenangkan",5,2023-06-24 15:27:45
Shaumy Aliyah,"What a wonderful game! Good story, character, EVERYTHING!!!",5,2023-06-23 05:43:59
Noob Noobie,So far so good. The graphic and the story really engaging. Also the voice and the audio really add that realness to it.,4,2023-06-21 08:50:34
Seno Andara maulana,Woww,3,2023-06-20 07:39:47
Gigis Suryani,Train our memories,5,2023-06-18 14:20:25
DEWBITCOIN 152,Good game detective,5,2023-06-18 12:53:57
FE Chelsea Ginting,"game misteri teka-teki terbagus ya dari Nordcurrent !! alur nya, art nya, semua amazing banget!! aku juga suka voice dari setiap karakternya",5,2023-06-14 08:03:08
Araa Kamila,Energi sangat cepat habis,4,2023-06-14 05:21:55
arifianto muchamad,Gamenya bagus cm energy cepat habis..ngumpulin energy 1 hari maen baru 10 menit sudah habis energy 🤣🤣,3,2023-06-13 02:50:08
wirahadikesuma 83,Bagusss.saya kasih bintang 5,5,2023-06-12 09:22:02
Jobs,Game yang cukup serius dalam mencari object tertentunya,5,2023-06-11 20:51:23
Rohman Nawawi,"mungkin developer bisa tinjau ulang bagian recharge energy nya, karena terlalu lama.",3,2023-06-08 14:07:24
Merryll Joveline,Great Games I Like It,5,2023-06-06 18:56:59
Mira Mardiana,Baguss,5,2023-06-01 12:43:56
Deka T.J,Good game seru,5,2023-05-31 15:50:34
desy darista,Great Game,5,2023-05-30 17:02:19
Nirmala Adi,Seruuuuu bgt,5,2023-05-30 13:37:57
Marcelina MGS,"Sayang bgt energi nya gampang bgt abis, ngisinya lama bgt. 1 energi 8mt. Mau lanjut percakapan aja butuh 20-30energi. Recharge mentok cm 200, ngisi full 200 aja butuh krg lebih 27 jam :( pdhl game nya bagus bgtbgtbgtttt",1,2023-05-30 07:57:32
Syelvi Yulida,Bagus dan menyenangkan,3,2023-05-21 00:12:04
Sasmita_073,I love this game,5,2023-05-20 04:12:22
Evanny Kaory,Main dikit tenaga habis...,1,2023-05-18 07:29:44
Daniel Pasaribu,Oke,5,2023-05-17 10:16:51
Via Fauziah,Mengapa saya tidak bisa menonton video untuk mendapatkan energi ? Padahal internet bagus dan bisa connect ke Facebook. Tapi opsi Watch Video ga bisa di klik,1,2023-05-11 11:22:35
Wahyu Alfauzan,Game ini asik dn penuh misteri,5,2023-05-05 14:54:13
Enova Enzia,"Suka Banget Grafis & ceritanya, penggambaran suasananya nyata jadi kebawa ke suasana awal abad ke 20, sayangnya waktu mengisi energi 1 x 8menit terlalu lama & 5/benda jadi energi cepet habis, untung ada bonus liat iklan, walau bisa bahasa Inggris tapi lebih bagusnya kalau ada opsi bahasa Indonesia agar yang gak bisa bahasa Inggris jadi paham tanpa harus pake google terjemah, semoga secepatnya bisa ditambahkan bahasa Indonesia",5,2023-05-02 11:17:33
Khoirul Abyan,"Game nya bagus, tapi pemakaian energi nya terlalu besar dan juga isi ulangnya lama banget ,masa harus nunggu 1 hari an untuk main lagi",4,2023-05-01 03:43:12
Renote Nine,Amazing,5,2023-04-30 11:20:28
Novie Widie,good game....still playing n try to enjoyed,4,2023-04-29 20:07:01
Nashwa permana,Bagus,5,2023-04-29 14:34:51
Pak Sugandi,Gamenya bagus tapi loadingnya lama,5,2023-04-29 14:17:43
Amanda Giyarni Achmad,"Bagus, seru suka banget",5,2023-04-29 10:45:41
Kana Alora,"I really love this game. The arts, the animations, the story lines, the characters, everything about this is just fabulous. And on top of that, you can play this for free. Loving this game.",5,2023-04-24 15:05:02
cindra anwar,👍,4,2023-04-18 05:12:33
Alfiyah fimustholahil Ma'rifah,Setelah di-update kok tambah susah buka new chapter nya padahal ini adalah my top list game,5,2023-04-17 17:47:58
Siti Haura Hawari,"PERFECT! Bagi yang kasi bintang 1 cuma gara-gara energi habis atau bahasa bukan bahasa Indonesia... please kalian itu kurang bijak dalam menilai game. Padahal dari segi grafik, cerita, teka-teki semuanya bagus. Ambil segi positifnya. Kalian harus download kalau penasaran, jangan hanya melihat dari komentar- maksudnya cobain game nya dulu baru bisa kritik. Sekian.",5,2023-04-15 10:15:48
Vita Anggraini,remind me to 'Death on the orient express' really love this game,5,2023-04-09 14:06:04
Im Whulandary,"Yang kasih bintang 1 gara2 energi cepet habis ada masalah apa sih. Kalian bisa isi energi dengan nonton video, bisa dapat 10 energi gratis. Btw ini kenapa server no respon ya? Karena server no respon maaf saya kasih bintang 3.",3,2023-04-09 05:18:29
Helmi Helmi,Whats a game,5,2023-04-05 12:52:26
Wid Y,Game bagus lbh suka ini dari pada yang munder by choise,5,2023-03-29 14:55:19
Muhamad Harfy Dasayev,"Add the language ""Indonesia"". Terimakasih.",5,2023-03-24 22:52:45
Rani Yaswan,Really nice,5,2023-03-20 02:25:42
Jun naedi Jun,Det,5,2023-03-07 14:46:35
dandik anantoseno,Seru,5,2023-02-22 12:42:37
Fitria Anwar,"Using too much energy, but too long to wait the energy to refill full........🤪🤪",4,2023-02-15 04:06:44
Zuhroh Shobihah,Good!,4,2023-02-10 13:54:38
Barman Morningstar,"Hello sir, this is a very great game. This is for me has a great unique quality game.",5,2023-02-09 14:43:44
Maulana Iskandar,Gem. ini sangat. Bagus coba. Downlot. Jangan smpi telat nanti gak bisa,5,2023-02-02 08:32:38
AULIA NUR RAMADHANI,"Gamenya bagus, tapi staminanya cepat habis.. ngeselin bangetttt",1,2023-02-01 13:29:45
Dyana Setya permatasari,Good,4,2023-01-29 20:51:59
Erien,Boring 😑,3,2023-01-19 03:18:34
Tarlan Sujarli,Bagus,5,2023-01-14 08:09:41
Ragil Sentosa,"Game ini sangat menarik, sampai saya tidak ingin berhenti memainkannya. Tetapi, butuh waktu yang sangat lama untuk memulihkan energi. Seakan-akan developer memaksakan pemain secara tidak langsung untuk membeli energi menggunakan uang asli. Hal ini, membuat saya menjadi tidak tertarik lagi dengan game ini. Maaf",1,2023-01-02 12:50:27
M rifko Ananda,Majestic,5,2022-12-31 07:53:37
Zelma Maria,So fun! Please make the second part!,5,2022-12-28 01:16:38
Bergkamp Ramadhan,Jika update tambahkan bhs indonesia min,3,2022-12-21 15:20:00
Caca,Good game,5,2022-12-16 03:52:34
Wavee,"overall is good except the energy bar, so slow",5,2022-12-12 14:50:33
Nur Asmi,"Gamenya seru, alur sama grafiknya juga keren. Berharap ada versi bahasa Indonesianya 😌",4,2022-12-11 02:03:24
Fajar Wati,Keren banget,5,2022-12-10 04:41:07
MrCopat4,Game buruk setiap konten harus download di tambah harus isi energi,1,2022-12-05 12:47:43
Nabiel lubis,Gamenya seru,4,2022-12-04 05:44:28
Hugo Pitshburg,Cool game,4,2022-12-02 12:28:48
Kiaraarth,Gilaaakk ini buagusss bangetttttt,5,2022-12-02 06:25:37
Zhao Zhilong,Good but I hope you give free energy,5,2022-12-01 13:01:02
Agus Yulianto,Good game,5,2022-11-29 05:02:49
Zakiyah Raya,Nice game. Tapi yang buat sebal energynya boros. Tidak seimbang antara pengisian yang lambat dengan penggunaan yang terlalu boros. Saya harap saat hidden objek dapat tambahan energy ketika getting objek.,4,2022-11-23 06:03:02
Nana Mimyy,"Gamenya bagus, jeleknya staminanya boros",3,2022-11-12 21:37:21
Ian,"the story, design, graphics and mystery are excellent. but, the stamina is meh. Stamina lama ngisinya, cepet habis. Ditinggal tidur sampai pagi masih blm penuh. Blm main 30 menit, stamina udh habis",3,2022-11-12 06:49:38
Nisa Nbila,Mantap,5,2022-11-10 08:47:47
Sara Andri,"Very nice, a good interactive games, sayang energinya cepat habis",5,2022-10-27 12:59:42
Dian Septha,Suka aja,5,2022-10-24 09:37:07
Marissa Dwi Praseptiani,"It's a good game with great solved puzzle crime mystery. But sorry i'm uninstall it because energy restored very slow while this game needs a lot of energy. I leave it overnight but it's not restored to max. Even when you pick the object from hidden object game, you need 5 energy. You can restore small amount of energy by watching ads, but this option isn't working anymore. I keep push the button but nothing happened. There's a lot of option to restore but i think it's useless after long time",4,2022-10-19 03:51:15
Fauzi Noer Rohmi,Gamenya bagus suka ada filmnya kalau bisa offline,3,2022-10-18 09:24:08
Muhammad Adriansyah,Tidak bisa di buka...?,1,2022-10-18 08:36:19
Karapan Sapi,Ok,5,2022-10-18 05:28:49
Afni,"Seru gamenya tapi sayang,boros banget nyawanya",5,2022-10-18 01:46:44
Mirna Syafitri Rahmadani,Kata org bisa nonton iklan supaya dapet energi kok saya gabisa? Gaada tombol buat nonton iklannya. Gimana sih? Cape tau nunggu energi nya dah nunggu lama 4 jam bukannya penuh malah yg terisi cuman 10,1,2022-10-16 03:03:06
trisya farah,Awesome,5,2022-10-15 13:58:14
Hanna Mira Culous,banyak download nya,1,2022-10-10 12:26:37
Azka Aldriq7jjkwkwkoo8e,Nice game vary interested,5,2022-10-10 08:05:27
Kinda Oreo,Bagus sih. Melatih bahasa inggris juga. Grafiknya jg bagus terus suasana horrornya jg dapet bgt,5,2022-10-09 15:57:08
Benny Kurniawan,Game bagus tapi mengisi energi nya terlalu lama dan habisnya terlalu cepat.,3,2022-10-09 02:45:05
Billy Chrisdianata,Energinya boros itu saja,2,2022-10-09 02:30:34
independent projeck,ok,5,2022-10-05 08:58:18
Reina,"Seruu banget, tapi sayang energinya cepet habis",4,2022-10-02 04:57:56
Silvia Oktiva,"Gamenya seru, tapi baru main berapa menit energi udah habis, sedangkan ngisi satu energi itu harus nunggu 8 menit",2,2022-09-30 14:19:28
alissa dara,Baguss tapi perlu memori penyimpanan yg cukup banyak,5,2022-09-30 11:30:08
Davi Wahyudi,Apakah game nya offline adikadik?,1,2022-09-24 22:52:09
Adi Pura,Gamenya bagus tapi tolong energinya jangan cepat habis,3,2022-09-24 20:28:16
Vita Loka,Kerenn,5,2022-09-24 18:18:06
