tidak_baku,kata_baku
ahh,ah
ahhh,ah
ahhhh,ah
aj,saja
aja,saja
ajaa,saja
ajaaa,saja
ajaaahhhhh,saja
ajabiar,saja biar
ajah,saja
ajahharus,saja harus
ajahhh,saja
ajaibb,ajaib
ajaibbbbb,ajaib
ajakin,mengajak
ajalah,sajalah
ajarin,ajarkan
ajaselebihnya,saja selebihnya
ajatolong,saja tolong
ajauntuk,saja untuk
aje,saja
ajh,saja
ajha,saja
ajhh,saja
ajibb,ajib
ajj,saja
ajja,saja
ajjh,saja
ak,aku
akau,aku
akhirt,akhirat
akhlah,akhlak
akhrt,akhirat
akn,akan
aktifitasnya,aktivitasnya
akuh,aku
akuhh,aku
akuu,aku
akuuu,aku
akuuuur,akur
ala2,ala-ala
alaami,alami
alak,kepala
alamii,alami
alamiii,alami
alassnnya,alasannya
alcohol,alkohol
alhamd,alhamdulillah
alhamdulillaaaaah,alhamdulillah
alissnyaa,alisnya
alkhamdulilah,alhamdulillah
all,semua
allaahh,allah
allahh,allah
allahhhh,allah
allahhhhhhh,allah
allhamdulillah,alhamdulillah
alloh,allah
alm,almarhum
almh,almarhumah
almost,hampir
aloh,allah
alot,banyak
already,sudah
alright,baiklah
also,juga
although,meskipun
alu,aku
alus,halus
always,selalu
am,sama
ama,sama
amaattt,amat
amad,amat
amatt,amat
amazing,menakjubkan
ambilin,mengambil
ameen,amin
amen,amin
amfun,ampun
amiend,amin
amienn,amin
amiennn,amin
amiennnn,amin
amiien,amin
amiiiiiiiiiiiiiiiiin,amin
amiiiiiiiiiiin,amin
amiiiiiiiiiinnnnnnn,amin
amiiiiin,amin
amiiiiinnn,amin
amiiiiinnnnn,amin
amiiiin,amin
amiiin,amin
amiiinn,amin
amiiinnn,amin
amiiinnnn,amin
amiin,amin
amiinn,amin
amiinnn,amin
amiinnnn,amin
amin2,amin-amin
aminn,amin
aminn2,amin-amin
aminnn,amin
aminnnn,amin
aminnnn2,amin-amin
aminnnnn,amin
amit2,amit-amit
ammiiin,amin
ammin,amin
amohhh,kamu
amount,jumlah
ampe,sampai
amploppp,amplop
ampun,ampun
ampunn,ampun
ampunnnn,ampun
ampunnnnn,ampun
ampuun,ampun
ampuunn,ampun
ampuuun,ampun
ampuuunn,ampun
ampyunnnn,ampun
amu,kamu
an,sebuah
anak'y,anaknya
"anak""",anak-anak
anak2,anak-anak
anak2e,anak-anaknya
anak2mu,anak-anakmu
anak2nya,anak-anaknya
anakny,anaknya
anakx,anaknya
ancur,hancur
ancurrr,hancur
and,dan
andaaa,anda
andd,dan
aned,banget
anedh,banget
aneed,banget
aneh2,aneh-aneh
anehhh,aneh
aneut,banget
animation,animasi
animations,animasi-animasi
anj,anjing
anjaaaayyyyyy,anjay
anjaayy,anjay
anjayyyy,anjay
anjg,anjing
anjingnyaa,anjingnya
anjirmulai,anjir mulai
anjirr,anjir
anjirrr,anjir
anjirrrr,anjir
anjjjjjjjj,anjing
ank,anak
"ank""",anak-anak
ank2,anak-anak
ank2nya,anak-anaknya
ankknyaaa,anaknya
anknya,anaknya
ankx,anaknya
annnnjjjjjjrrrr,anjir
annoyed,kesal
annoying,menjengkelkan
another,lain
answer,jawaban
anterin,antar
anterin,antarkan
anugrah,anugerah
any,apa pun
anyeng,anjing
anymore,lagi
anymoreee,lagi
anymorelast,lagi terakhir
anything,apa pun
anyway,bagaimanapun
ap,apa
"apa""",apa-apa
apa2,apa-apa
apa2nya,apa-apanya
apaa,apa
apaaa,apa
apaaan,apaan
apaalahh,apalah
apaan,apa
apah,apa
apain,apai
apal,hapal
apalagiii,apalagi
apalai,apalagi
apalg,apalagi
apalgi,apalagi
apasihhh,apasih
ape,apa
apikkkk,apik
aplikasiin,mengaplikasikan
aplks,aplikasi
apo,apa
app,aplikasi
appa,apa
appeare,muncul
appears,muncul
applikasi,aplikasi
appnya,aplikasinya
appreciate,menghargai
apun,apapun
apus,hapus
aq,aku
aqu,aku
arab2,arab-arab
are,adalah
arghhh,ah
arigato,terima kasih
art,seni
"artis""",artis-artis
artis2,artis-artis
artisnyaa,artisnya
"artist""",artis-artis
artix,artinya
artnya,seninya
arts,seni-seni
as,sebagai
asalan,asal-asalan
asik,asyik
asikk,asyik
asikkk,asik
asliii,asli
asliiii,asli
asliiiii,asli
aslinyo,aslinya
astafirullah,astagfirullah
astagaa,astaga
astagaaa,astaga
astagaaaa,astaga
astagaaaaaa,astaga
astagaaaaaaaa,astaga
astagfirrullah,astagfirullah
astagfirullh,astagfirullah
astauviruloh,astagfirullah
astgfrlh,astagfirullah
astgfrullah,astagfirullah
asuuu,asu
asyeek,asyik
asyikkkkk,asyik
asyiktpi,asyik tapi
at,di
atassan,atasan
atassss,atas
"ati""",hati-hati
ati2,hati-hati
atmosphere,atmosfer
ato,atau
ats,atas
attention,perhatian
atu,satu
atuhh,atuh
atuhhh,atuh
atutt,takut
atuu,satu
atw,atau
aurot,aurat
authorization,otorisasi
auto,otomatis
automatically,secara otomatis
autuhh,tau tuh
awaas,awas
awal2,awal-awal
awalny,awalnya
awesome,luar biasa
awk,awak
awl,awal
awoohhh,allah
awsome,luar biasa
ayahh,ayah
ayank,sayang
ayoklaa,ayolah
ayoo,ayo
ayooo,ayo
ayoook,ayo
ayoookkkkkk,ayo
ayoooo,ayo
ayooook,ayo
ayuk,ayo
ayukk,yuk
aza,saja
azaab,azab
azeeeek,asik
azekkkk,asik
b2,berdua
b2an,berduaan
b3,bertiga
baaaaaang,bang
baaiikkk,baik
baang,bang
baanget,banget
baanggeettt,banget
babget,banget
baca2,baca-baca
bacaaaa,baca
bacahalah,bacalah
back,kembali
bacotin,bacoti
bad,buruk
badaaiii,badai
badaii,badai
badgood,buruk baik
badingkan,membandingkan
bae2,baik-baik
baek,baik
baek2,baik-baik
bagaatt,banget
bagaimanaaa,bagaimana
bagaimna,bagaimana
baget,banget
bagi2,bagi-bagi
bagiii,bagi
bagiin,bagikan
bagiin,membagikan
bagis,bagus
bagus2,bagus-bagus
bagusakan,bagus akan
bagusalur,bagus alur
bagusbikin,bagus bikin
bagusceritanya,bagus ceritanya
baguscuma,bagus cuma
bagusdari,bagus dari
bagusdiperbaiki,bagus diperbaiki
bagusenergi,bagus energi
bagusgrafik,bagus grafik
bagushanya,bagus hanya
bagusnyayg,bagusnya yang
bagusnyeee,bagusnya
baguss,bagus
bagussecara,bagus secara
bagusseru,bagus seru
bagusss,bagus
bagussss,bagus
bagussssaya,bagus saya
bagussssklo,bagus kalau
bagusssss,bagus
bagusssssss,bagus
bagusstory,bagus cerita
bagustapi,bagus tapi
bagustetapi,bagus tetapi
bagustidak,bagus tidak
bagustp,bagus tapi
baguusss,bagus
baguuus,bagus
baguuusssss,bagus
baguuuuus,bagus
baguuuuuusssss,bagus
bahas2,bahas-bahas
baik2,baik-baik
baik2nya,baik-baiknya
baikk,baik
baikxa,baiknya
baju.a,bajunya
baju'a,bajunya
baju2,baju-baju
bakal,akan
bakalan,akan
bakar2in,bakar-bakari
bakattt,bakat
bales,balas
bales2in,balas-membalas
balesin,membalas
balik,kembali
baliknya,kembalinya
bandingin,bandingkan
bang,abang
bangat,banget
bangcat,bangsat
bange,banget
banged,banget
bangedd,banget
bangedgoood,banget good
bangedt,banget
bangeeeeeetttttttt,banget
bangeeeeet,banget
bangeeeeetttt,banget
bangeeeet,banget
bangeeet,banget
bangeeettt,banget
bangeer,banget
bangeet,banget
bangeett,banget
bangeettt,banget
banger,banget
bangetbutuh,banget butuh
bangetcepet,banget cepat
bangetini,banget ini
bangetnunggu,banget nunggu
bangets,banget
bangett,banget
bangettapi,banget tapi
bangettt,banget
bangetttt,banget
bangettttt,banget
bangetttttt,banget
bangettttttt,banget
bangetttttttt,banget
bangetttttyt,banget
bangetya,banget ya
bangg,bang
"bangga""in",membangga-banggakan
bangga2in,membangga-banggakan
banggain,banggakan
bangget,banget
banggett,banget
bangke,bangkai
bangkret,bangkrut
bangrt,banget
bangshad,bangsat
bangst,bangsat
bangt,banget
"bangt""",banget-banget
banhet,banget
bante,bantai
bantuanny,bantuannya
bantuanya,bantuannya
bantuim,bantu
bantuuin,bantu in
banx,bang
banyaaaaaak,banyak
banyaaaak,banyak
banyaak,banyak
banyak,banyak
banyak2,banyak-banyak
banyakin,membanyaki
banyakkan,banyakan
banyakkin,banyakin
banyakwaktu,banyak waktu
bape,bawa perasaan
bapeeeer,bawa perasaan
bapeerr,bawa perasaan
baper,bawa perasaan
baperr,bawa perasaan
baraang,barang
barang2,barang-barang
barangbarang,barang-barang
barangya,barangnya
baranngya,barangnya
barengg,bareng
baru2,baru-baru
baruu,baru
basodaraa,bersaudara
bastard,bajingan
bat,banget
batesin,batasi
batikk,batik
batre,baterai
battt,banget
batwc,banget
"bawa""",bawa-bawa
bawa2,bawa-bawa
bawak,bawa
bayak,banyak
bayangin,bayangkan
bazengg,bajingan
bbrp,beberapa
bbrpa,beberapa
bc,baca
bca,baca
bcause,because
bcnda,bercanda
bdampingan,berdampingan
bdan,badan
bdn,badan
beast,beast
beautiful,cantik
bebrp,beberapa
beby,baby
became,menjadi
because,karena
beda2,beda-beda
bedaa,beda
bedaaa,beda
bedabeda,beda-beda
bedain,membedakan
bedainnya,membedakannya
bedanyaaa,bedanya
bedua,berdua
been,telah
begete,banget
beginii,begini
beginiiii,begini
beginintaps,begini tapi
beginitp,begini tp
beginner,pemula
beginning,awal
begok,bego
being,menjadi
bejilbbnya,berjilbabnya
"bela""in",membela-bela
bela2in,membela-bela
belain,membela
belanjaa,belanja
belibikin,beli bikin
belibyar,beli bayar
beliiin,belikan
beliin,membelikan
beliin,belikan
belinyauntuk,belinya untuk
bellain,membela
belom,belum
belooomm,belum
beluumm,belum
benahin,membenahi
"benar""",benar-benar
benar2,benar-benar
benarin,membenarkan
benda2,benda-benda
bendabenda,benda-benda
bener,benar
"bener""",benar-benar
bener2,benar-benar
beneraan,benaran
beneran,benaran
benerinnya,benarinnya
benerr,benar
benet,benar
benetaran,benaran
bengkak2,bengkak-bengkak
benneeeeeerr,benar
bentar,sebentar
bentarr,bentar
ber'expresi,berekspresi
ber2,berdua
beraiki,perbaiki
berangat,berangkat
berani2,berani-berani
berarto,berarti
berati,berarti
beratttttttt,berat
berbakiti,berbakti
berbeda2,berbeda-beda
berbiiiiiihhh,barbie
berenanh,berenang
berfikir,berpikir
bergunaa,berguna
berhijap,berhijab
berjinah,berzina
berkaryaaa,berkarya
berkelass,berkelas
berkluarga,berkeluarga
bermaksut,bermaksud
berntung,beruntung
bertatto,bertato
bertolernsi,bertoleransi
berulangulang,berulang-ulang
beruntungnyaaaa,beruntungnya
"besar""",besar-besar
besar2an,besar-besaran
besar2in,besar-besarkan
besarin,membesarkan
besokkk,besok
besook,besok
best,terbaik
bestest,paling baik
bestlah,terbaiklah
bet,banget
betlokasi,bet lokasi
bets,banget
bett,bet
better,lebih baik
bettt,banget
betul2,betul-betul
betulbetul,betul-betul
betuuuuulllllllllllllllll,betul
beud,banget
beudd,banget
beuh,beuh
beut,banget
beuttttttt,banget
bg,bang
bgai,bagi
bgd,banget
bgect,banget
bget,banget
bgettt,banget
bgi,bagi
bgini,begini
bgitu,begitu
bgmana,bagaimana
bgmn,bagaimana
bgmna,bagaimana
bgni,begini
bgs,bagus
bgslah,baguslah
bgst,bangsat
bgstp,bangsat tapi
bgt,banget
bgtbgtbgtttt,banget banget banget
bgtngumpulin,banget mengumpulkan
bgtsemoga,banget semoga
bgtsukaaatp,banget suka tapi
bgtt,banget
bgttcm,banget tapi
bgttt,banget
bgtttt,banget
bgttttt,banget
bgttttttt,banget
bgtttttttmau,banget mau
bgtttttttt,banget
bgtu,begitu
bgtudah,banget sudah
bgtuu,begitu
bgun,bangun
bgung,bingung
bgus,bagus
bgussss,bagus
bgustpi,bagus tapi
bhagaia,bahagia
bhagia,bahagia
bhas,bahas
bhet,banget
bhgia,bahagia
bhgiain,membahagiakan
bhijab,berhijab
bhkn,bahkan
bhn,bahan
bhnya,bahannya
bhs,bahasa
bhsa,bahasa
bhw,bahwa
bhwa,bahwa
biarin,biarkan
biasa2,biasa-biasa
biasaa,biasa
biasaaa,biasa
biasaaaa,biasa
biasahhh,biasa
biasakeren,biasa keren
biasasedari,biasa sedari
bijak2,bijak-bijak
bijin,bikin
biki,bikin
bikinin,bikin
bikinin,membikin
bikinnn,bikin
"bilang""",bilang-bilang
bilang2,bilang-bilang
bilangg,bilang
bilangin,bilang
bilanh,bilang
bilng,bilang
binggo,banget
binggung,bingung
bingiiittttzzzz,banget
bingiiittzz,banget
bingiit,banget
bingiittt,banget
bingit,banget
bingits,banget
bingitss,banget
bingitsss,banget
bingitt,banget
bingittt,banget
bingittzz,banget
bingitzzzz,banget
bingiztt,banget
bintanga,bintang
bintangsumpahini,bintang sumpah ini
bird,biru
biri,biru
bisaa,bisa
bisaaa,bisa
bisax,bisanya
bissa,bisa
biza,bisa
bjir,anjir
bju,baju
bka,buka
bkal,bakal
bkan,bukan
bkin,bikin
bkln,bakalan
bkn,bukan
bkn,bikin
blajar,belajar
blakon,berlakon
blank,kosong
bleh,boleh
blg,bilang
blh,boleh
bli,beli
bli2n,beli-belikan
blik,balik
blim,belum
bljr,belajar
blkang,belakang
blkng,belakang
blln,bulan
blm,belum
bln,bulan
blng,bilang
blnja,belanja
bloghhh,goblok
blom,belum
bls,balas
blum,belum
bnda,bunda
bner,benar
"bner""",benar-benar
bner2,benar-benar
bneraan,benaran
bneran,benaran
bnern,benaran
bnerr,benar
bng,bang
bngatt,banget
bngeeeetttt,banget
bngeet,banget
bnget,banget
bngett,banget
bngettt,banget
bngetttt,banget
bnggain,banggakan
bngkit,bangkit
bngt,banget
bngtkadang,banget kadang
bngtt,banget
bngttt,banget
bngtttt,banget
bngtzt,banget
bngun,bangun
bngunlah,bangunlah
bngy,banget
bnk,bang
bnr,benar
bnr2,benar-benar
bnran,benaran
bnrn,benaran
bntang,bintang
bntar,bentar
bntng,bintang
bntr,bentar
bntu,bantu
bnyak,banyak
bnyk,banyak
bo'ong,bohong
bodhoo,bodoh
bodhooo,bodoh
boker,berak
bol3h,boleh
bolang,bocah petualang
bole,boleh
boleh2,boleh-boleh
boong,bohong
bored,bosan
boring,membosankan
boro2,boro-boro
borooosss,boros
borooossss,boros
borosgame,boros game
borosgamenya,boros gamenya
borosmalas,boros malas
borosngga,banget mengumpulkan
borosngisinya,boros mengisinya
boross,boros
borosss,boros
borossss,boros
bosaan,bosan
bosen,bosan
bosen2,bosan-bosan
bosenaku,bosan aku
bosenin,membosankan
bosenin,bosankan
boss,bos
bossaya,bos saya
botakin,botaki
botakkkk,botak
bother,mengganggu
botos,boros
bpkmu,bapakmu
bpknya,bapaknya
bqgus,bagus
br,baru
bradegan,beradegan
brain,otak
brangnya,barangnya
brani,berani
branjak,beranjak
brantem,berantem
brapa,berapa
brarti,berarti
brasa,berasa
brayyy,bray
brbakti,berbakti
brbeda,berbeda
brbuat,berbuat
brdiri,berdiri
brdua,berdua
brengsekk,brengsek
bres,beres
brg,bareng
brg,barang
"brg""",bareng-bareng
brhasil,berhasil
brhjb,berhijab
brings,membawa
brisi,berisi
brita,berita
britanya,beritanya
brjdh,berjodoh
brjodoh,berjodoh
brkunjun,berkunjung
broken,rusak
bronis,brondong manis
brp,berapa
brpa,berapa
brpndapat,berpendapat
brrt,berarti
brrti,berarti
brsama,bersama
brsma,bersama
brsyukur,bersyukur
brtngkar,bertengkar
bru,baru
brubah,berubah
brusaha,berusaha
bs,bisa
bsa,bisa
bsk,besok
bsok,besok
bt,buat
bt,but
btuh,butuh
btul,betul
btulan,betulan
buagus,bagus
buagusss,bagus
buanget,banget
buanyaaak,banyak
buatin,buatkan
buatin,membuat
buatt,buat
bujngn,bujangan
bujukk,bujuk
buka2,buka-buka
buka2an,buka-bukaan
bukak,buka
bukan'a,bukannya
bukn,bukan
bukti2,bukti-bukti
buktiin,buktikan
buktiin,membuktikan
buktinyaaa,buktinya
bulet,bulat
bund,bunda
bundaa,bunda
bundaaa,bunda
bundaaaa,bunda
bunga2,bunga-bunga
bungggg,bung
bungkusin,bungkuskan
bungkuuussss,bungkus
bungkuuuuuuuuusss,bungkus
burem,buram
"Buruan join skarang?""",zeroisasi
"Buruan join skarang?""",monoftongisasi
"Buruan join skarang?""",abreviasi
"Buruan join skarang?""",reduplikasi
"Buruan join skarang?""",afiksasi
"Buruan join skarang?""",elongasi
buruann,buruan
buruannn,buruan
busa,busa
busedh,buset
buseett,buset
busy,sibuk
but,tapi
butplease,tapi tolong
button,tombol
buuun,bun
buy,beli
bw,bawa
"bwa""",bawa-bawa
bwt,buat
by,oleh
byak,banyak
byangin,membayangkan
byaran,bayaran
bye,selamat tinggal
byk,banyak
bz,bisa
c,sih
caaannnttiikkk,cantik
caantiiik,cantik
cabe2,cabe-cabe
cabe2an,cabe-cabean
cabol,cabul
cadasss,cadas
cakeeeeppp,cakep
cakeep,cakep
cakep,cantik
cakepp,cakep
cakeppp,cantik
cali,caci
campurin,mencampuri
can,bisa
canci,cantik
cannnnntikkkkkkk,cantik
cannntikk,cantik
cans,cantik
cant,tidak bisa
canteek,cantik
canti,cantik
cantiiiiiiik,cantik
cantiiiik,cantik
cantiiiikk,cantik
cantiiik,cantik
cantiiikk,cantik
cantiiikkk,cantik
cantiiillx,cantik
cantiik,cantik
cantiik2,cantik-cantik
cantiikk,cantik
cantiikkkk,cantik
cantik2,cantik-cantik
cantik2nya,cantik-cantiknya
cantika,cantik
cantikk,cantik
cantikkk,cantik
cantikkkk,cantik
cantikkkkk,cantik
cantikkkkkk,cantik
cantikkkkkkkk,cantik
cantikkkm,cantik
cantiknnnnyaaaaaaa,cantiknya
cantiknyaa,cantiknya
cantiknyaaa,cantiknya
cantiknyaaaaa,cantiknya
cantiks,cantik
cantikx,cantiknya
cantinya,cantiknya
cantip,cantik
cantiq,cantik
cantiqs,cantik
cantix,cantik
cantk,cantik
canttikkk,cantik
canttttikkk,cantik
canyk,cantik
capa,sapa
cape,capek
capee,cape
capter,chapter
capternya,chapternya
caracter,karakter
caranga,caranya
care,peduli
cari2,cari-cari
cariin,carikan
carrying,membawa
case,kasus
catiiiiik,cantik
catokin,catok
caya,percaya
cb,coba
cba,coba
ccok,cocok
cd,celana dalam
ceemen,cemen
cek2,cek-cek
ceklist,ceklis
cellphone,ponsel
cem,macam
cemburuu,cemburu
cempreeng,cempreng
cenggak,cengeng
centillll,centil
centilnyaaaaaa,centilnya
cepatharus,cepat harus
cepatjgn,cepat jangan
cepet,cepat
cepet2,cepat-cepat
cepetan,cepatan
cepetin,cepatin
cerdass,cerdas
cerdiik,cerdik
ceritanyatapi,ceritanya tapi
ceritanyawalaupunintinya,ceritanya walaupun intinya
ceritax,ceritanya
cew,cewek
cewe,cewek
cewer,jewer
chalengging,menantang
challenges,tantangan
challenging,menantang
chance,kesempatan
change,ubah
chap,chapter
chapt,chapter
chapter,chapter
chapterannya,chapternya
chapterchapter,chapter-chapter
chapterim,chapter
chapternya,chapternya
chapterr,chapter
chapters,chapter-chapter
chara,karakter
character,karakter
characters,karakter-karakter
charge,isi daya
charging,mengisi daya
chefkiss,sempurna
chelalyyu,selalu
choice,pilihan
choise,pilihan
choker2,choker-choker
ciapa,siapa
ciee,cie
cieee,cie
cieeee,cie
cieeeee,cie
cigar,cigar
ciieeeeeee,cie
ciiieee,cie
cinggirnyaaaa,cinggirnya
cini,sini
cino,cina
cintaaaaaaa,cinta
cintax,cintanya
ciptain,ciptakan
ciptain,menciptakan
cita2,cita-cita
ciumman,ciuman
ciusss,serius
ciuuuummmm,cium
ciyeeee,cie
ciyeeeeeee,cie
ciyusss,serius
ckp,cukup
ckrng,sekarang
ckup,cukup
claimed,mengklaim
clever,pintar
click,klik
close,tutup
closed,tertutup
clues,petunjuk
cm,cuma
cma,cuma
cman,cuman
cmkn,camkan
cmn,cuman
cmon,ayo
cmpur,campur
cntiiikkk,cantik
cntik,cantik
cntikan,cantikan
cntikk,cantik
cntiknya,cantiknya
cntk,cantik
co,cowok
cobaa,coba
cobaaa,coba
cobaaaa,coba
cobain,coba
cobain,mencoba
cobak,coba
coccokk,cocok
cock,cocok
cocokk,cocok
cocokkk,cocok
cocokkkk,cocok
cocokkkkk,cocok
cocokny,cocoknya
cocokx,cocoknya
cocook,cocok
cocookk,cocok
code,kode
coeggg,coeg
cogan,cowok ganteng
coin,koin
coking,cooking
collct,koleksi
collect,kumpulkan
comen,komen
comen2nya,komen-komennya
coment,komen
coment,komentar
comfortable,nyaman
comic,komik
comics,komik-komik
coming,datang
comingson,coming soon
comingsoon,coming soon
command,perintah
comment,komentar
comment2nya,komentar-komentarnya
comnet,komen
comntr,komentar
complain,keluhan
completeupdate,update lengkap
confusing,membingungkan
connect,hubungkan
connected,terhubung
connection,koneksi
consume,konsumsi
content,konten
continuation,kelanjutan
continue,lanjut
continues,berlanjut
conversations,percakapan
cooking,memasak
cool,keren
cooocok,cocok
cooooooocok,cocok
"coret""",coret-coret
cost,biaya
could,bisa
couldnt,tidak bisa
country,negara
cow,cowok
cowo,cowok
coxok,cocok
coyyy,coy
coz,karena
cpa,siapa
cpat,cepat
cpet,cepat
cpit,sipit
cpt,cepat
cr,cara
crafted,dibuat
crazy,gila
creative,kreatif
cri,cari
crime,kejahatan
crita,cerita
critamu,ceritamu
critanya,ceritanya
crpat,cepat
cuaaantikk,cantik
cuaantik,cantik
cuantek,cantik
cuanti,cantik
cuantik,cantik
cuantikkk,cantik
cubanget,lucu banget
cuchook,cocok
cuco,cocok
cucok,cocok
cucokkk,cocok
cukurrr,cukur
cumn,cuman
cums,cuma
curhat2,curhat-curhat
curious,penasaran
current,sekarang
cus,karena
customer,pelanggan
cut,potong
cuyy,cuy
cuyyy,cuy
cw,cewek
cwe,cewek
cwek,cewek
cwnya,ceweknya
cwo,cowok
cwok,cowok
cyiiin,cinta
cyin,cinta
cz,karena
d,ada
d,di
d.apa,diapa
d.bikinin,dibikin
da,sudah
da,ada
da,dah
daaaah,deh
daaah,dah
daaanmenunggu,dan menunggu
daah,dah
daah,deh
dadakiller,dada killer
dah,sudah
dah,deh
dahal,padahal
dahh,dah
dahh,sudah
dahhhh,dah
daily,harian
dak,indak
dak,tidak
dalem,dalam
dalem2,dalam-dalam
dalil2,dalil-dalil
dallam,dalam
dangerous,berbahaya
dapattolong,dapat tolong
dapet,dapat
dapetin,mendapati
dapetin,mendapatkan
dapetnya,dapatnya
darpada,daripada
dasaar,dasar
dasarrr,dasar
dasyat,dahsyat
dateng,datang
day,hari
days,hari-hari
dblkang,di belakang
dblkng,di belakang
dbnding,dibanding
dbuat,dibuat
dbwh,di bawah
dcintai,dicintai
ddlm,di dalam
ddpat,didapat
ddpt,didapat
de,dek
de,deh
dead,mati
dear,sayang
death,kematian
debay,adek bayi
dech,deh
decided,memutuskan
decorate,menghias
decreased,berkurang
dede,adek
dedek,adek
dedeknya,adeknya
dee,dek
deeek,dek
deeh,deh
definetely,pasti
deg2an,deg-degan
degandengan,deg-degan
dehat,sehat
dehh,deh
dehhh,deh
dehhhh,deh
deket,dekat
deketin,dekati
dekk,dek
dekkk,dek
dekt,dekat
dektektifan,detektifan
dempga,semoga
dengarin,mendengarkan
dengeeriin,dengarkan
denger,dengar
dengerin,dengarkan
dengerin,mendengarkan
design,desain
desperated,putus asa
detail,detail
details,detail-detail
detective,detektif
deuhh,duh
dev,developer
developer,pengembang
developernya,pengembangnya
development,pengembangan
device,perangkat
dewassa,dewasa
dg,dengan
dgn,dengan
dgr,dengar
dh,deh
dh,sudah
dh,dah
dhe,deh
dhi,di
dhpusin,dihapuskan
diaa,dia
diaaa,dia
diajarin,diajari
diakibtkn,diakibatkan
dialogue,dialog
"diam""",diam-diam
diamkn,diamkan
dianter,diantar
dianterin,diantar
dianterin,diantarkan
diapa2in,diapa-apai
diapain,diapakan
diawal,di awal
dibangga'in,dibangga-banggakan
dibanggain,dibanggakan
dibenerin,dibenarkan
dibiarin,dibiarkan
dibikin2,dibikin-bikin
dibkatakan,dikatakan
dibls,dibalas
dibnggain,dibanggakan
dicapter,di chapter
dicerta,dicerita
did,melakukan
didalamnya,di dalamnya
didalamnyaselain,di dalamnya selain
didapet,didapat
didatengin,didatangi
didengerin,didengarkan
didnt,tidak
didugaya,diduga ya
dieee,dia
diem,diam
diemin,diamkan
diemm,diam
difficult,sulit
difotoin,difoto
digabtikan,digantikan
digambarin,digambarkan
digame,di game
diginiin,dibeginikan
diginikan,dibeginikan
digituin,dibegitukan
dihargain,dihargai
dihh,dih
dihpus,dihapus
dii,di
diihhhh,dih
diindonesis,diindonesia
diingetin,diingatkan
dijadiin,dijadikan
dijelekin,dijelekkan
dijkt,dijakarta
dijwb,dijawab
dikasi,dikasih
dikata2in,dikata-katai
dikatain,dikatai
dikemanain,dikemanakan
dikerasin,dikerasi
diketemuin,ketemu
dikit,sedikit
diksi,dikasih
diladenin,diladeni
dilayar,di layar
dilepas2,dilepas-lepas
dilewatiditunggu,dilewati ditunggu
diliat,dilihat
diliatnya,dilihatnya
dilindungin,dilindungi
diluangin,diluangkan
diluarann,diluaran
"dimana""",dimana-mana
dimananya,di mananya
dimao,dimau
dimarahin,dimarahi
dimasukin,dimasuki
dimusiumin,dimuseumkan
dinamakn,dinamakan
"dingin""",dingin-dingin
dinyanyiin,dinyanyikan
dipake,dipakai
diperbaharui,diperbarui
diperbaikimau,diperbaiki mau
diperbaikitambahin,diperbaiki tambahin
dipermainin,dipermainkan
dipikirin,dipikirkan
dipke,dipakai
dipojokin,dipojokkan
dipuja2,dipuja-puja
diputusin,diputuskan
direkomendasiin,direkomendasikan
dirimuuu,dirimu
dirmh,dirumah
dirumahny,dirumahnya
disappear,menghilang
disappointed,kecewa
disappointment,kekecewaan
disini,di sini
