userName,content,score,at,cleaning,case_folding,token,normalization,stopword,negation,stemming
alviano chornus,Energi ditambahin thanks,5,2022-02-18 02:08:34,Energi ditambahin thanks,energi ditambahin thanks,"['energi', 'ditambahin', 'thanks']","['energi', 'ditambahin', 'terima', 'kasih']","['energi', 'ditambahin', 'terima', 'kasih']","['energi', 'ditambahin', 'terima', 'kasih']","['energi', 'ditambahin', 'terima', 'kasih']"
Ran,"Energynya tolong dicepatkan, atau kalo ngga ad everyday tapi jumlahnya lumayan... Ini bagus banget dahal",3,2022-02-18 01:33:25,Energynya tolong dicepatkan atau kalo ngga ad everyday tapi jumlahnya lumayan Ini bagus banget dahal,energynya tolong dicepatkan atau kalo ngga ad everyday tapi jumlahnya lumayan ini bagus banget dahal,"['energynya', 'tolong', 'dicepatkan', 'atau', 'kalo', 'ngga', 'ad', 'everyday', 'tapi', 'jumlahnya', 'lumayan', 'ini', 'bagus', 'banget', 'dahal']","['energinya', 'tolong', 'dicepatkan', 'atau', 'kalau', 'tidak', 'ada', 'setiap', 'hari', 'tapi', 'jumlahnya', 'lumayan', 'ini', 'bagus', 'banget', 'padahal']","['energinya', 'tolong', 'dicepatkan', 'tidak', 'lumayan', 'bagus', 'banget']","['energinya', 'tolong', 'dicepatkan', 'tidak_lumayan', 'bagus', 'banget']","['energi', 'tolong', 'cepat', 'tidak lumayan', 'bagus', 'banget']"
Agiey Pradana,Great game,5,2022-02-17 18:40:10,Great game,great game,"['great', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']"
Sandhy Didit,Great,5,2022-02-17 16:47:06,Great,great,['great'],['bagus'],['bagus'],['bagus'],['bagus']
Padiman Sirin,Great,5,2022-02-17 14:14:24,Great,great,['great'],['bagus'],['bagus'],['bagus'],['bagus']
pasar cctv,Keren,5,2022-02-16 11:25:23,Keren,keren,['keren'],['keren'],['keren'],['keren'],['keren']
Michael Lage Brianson,good game and nice graphics,4,2022-02-16 07:22:51,good game and nice graphics,good game and nice graphics,"['good', 'game', 'and', 'nice', 'graphics']","['bagus', 'game', 'dan', 'bagus', 'grafis']","['bagus', 'game', 'bagus', 'grafis']","['bagus', 'game', 'bagus', 'grafis']","['bagus', 'game', 'bagus', 'grafis']"
Sri Mulyani Mulyani,Good game ever.....,5,2022-02-16 07:18:15,Good game ever,good game ever,"['good', 'game', 'ever']","['bagus', 'game', 'pernah']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']"
putra Danny,Cool,5,2022-02-15 11:11:02,Cool,cool,['cool'],['keren'],['keren'],['keren'],['keren']
Agustina Vindi,"Game seru dan oke banget, story line nya oke grafis nya mantap tapi sayang menurut gw ini pay to win banget gw kira cuma hint aja yg butuh energi ternyata ngeklik pun pake energi dan itu butuh uang oke lah kalo iklan gw ga masalah toh cuma buat ngumpulin hint di pake pas darurat aja tapi ini semua pake energi ah sudahlah... Sayang game bagus padahal tapi gw salut ini game seru banget grafis memanjakan mata boleh lah kalo di coba",3,2022-02-14 17:59:13,Game seru dan oke banget story line nya oke grafis nya mantap tapi sayang menurut gw ini pay to win banget gw kira cuma hint aja yg butuh energi ternyata ngeklik pun pake energi dan itu butuh uang oke lah kalo iklan gw ga masalah toh cuma buat ngumpulin hint di pake pas darurat aja tapi ini semua pake energi ah sudahlah Sayang game bagus padahal tapi gw salut ini game seru banget grafis memanjakan mata boleh lah kalo di coba,game seru dan oke banget story line nya oke grafis nya mantap tapi sayang menurut gw ini pay to win banget gw kira cuma hint aja yg butuh energi ternyata ngeklik pun pake energi dan itu butuh uang oke lah kalo iklan gw ga masalah toh cuma buat ngumpulin hint di pake pas darurat aja tapi ini semua pake energi ah sudahlah sayang game bagus padahal tapi gw salut ini game seru banget grafis memanjakan mata boleh lah kalo di coba,"['game', 'seru', 'dan', 'oke', 'banget', 'story', 'line', 'nya', 'oke', 'grafis', 'nya', 'mantap', 'tapi', 'sayang', 'menurut', 'gw', 'ini', 'pay', 'to', 'win', 'banget', 'gw', 'kira', 'cuma', 'hint', 'aja', 'yg', 'butuh', 'energi', 'ternyata', 'ngeklik', 'pun', 'pake', 'energi', 'dan', 'itu', 'butuh', 'uang', 'oke', 'lah', 'kalo', 'iklan', 'gw', 'ga', 'masalah', 'toh', 'cuma', 'buat', 'ngumpulin', 'hint', 'di', 'pake', 'pas', 'darurat', 'aja', 'tapi', 'ini', 'semua', 'pake', 'energi', 'ah', 'sudahlah', 'sayang', 'game', 'bagus', 'padahal', 'tapi', 'gw', 'salut', 'ini', 'game', 'seru', 'banget', 'grafis', 'memanjakan', 'mata', 'boleh', 'lah', 'kalo', 'di', 'coba']","['game', 'seru', 'dan', 'ok', 'banget', 'cerita', 'garis', 'ya', 'ok', 'grafis', 'ya', 'mantap', 'tapi', 'sayang', 'menurut', 'saya', 'ini', 'bayar', 'untuk', 'menang', 'banget', 'saya', 'kira', 'cuma', 'petunjuk', 'saja', 'yang', 'butuh', 'energi', 'ternyata', 'klik', 'pun', 'pakai', 'energi', 'dan', 'itu', 'butuh', 'uang', 'ok', 'lah', 'kalau', 'iklan', 'saya', 'tidak', 'masalah', 'toh', 'cuma', 'buat', 'kumpulkan', 'petunjuk', 'di', 'pakai', 'pas', 'darurat', 'saja', 'tapi', 'ini', 'semua', 'pakai', 'energi', 'ah', 'sudahlah', 'sayang', 'game', 'bagus', 'padahal', 'tapi', 'saya', 'salut', 'ini', 'game', 'seru', 'banget', 'grafis', 'memanjakan', 'mata', 'boleh', 'lah', 'kalau', 'di', 'coba']","['game', 'seru', 'ok', 'banget', 'cerita', 'garis', 'ok', 'grafis', 'mantap', 'sayang', 'bayar', 'menang', 'banget', 'petunjuk', 'butuh', 'energi', 'klik', 'pakai', 'energi', 'butuh', 'uang', 'ok', 'iklan', 'tidak', 'kumpulkan', 'petunjuk', 'pakai', 'pas', 'darurat', 'pakai', 'energi', 'ah', 'sayang', 'game', 'bagus', 'salut', 'game', 'seru', 'banget', 'grafis', 'memanjakan', 'coba']","['game', 'seru', 'ok', 'banget', 'cerita', 'garis', 'ok', 'grafis', 'mantap', 'sayang', 'bayar', 'menang', 'banget', 'petunjuk', 'butuh', 'energi', 'klik', 'pakai', 'energi', 'butuh', 'uang', 'ok', 'iklan', 'tidak_kumpulkan', 'petunjuk', 'pakai', 'pas', 'darurat', 'pakai', 'energi', 'ah', 'sayang', 'game', 'bagus', 'salut', 'game', 'seru', 'banget', 'grafis', 'memanjakan', 'coba']","['game', 'seru', 'ok', 'banget', 'cerita', 'garis', 'ok', 'grafis', 'mantap', 'sayang', 'bayar', 'menang', 'banget', 'tunjuk', 'butuh', 'energi', 'klik', 'pakai', 'energi', 'butuh', 'uang', 'ok', 'iklan', 'tidak kumpul', 'tunjuk', 'pakai', 'pas', 'darurat', 'pakai', 'energi', 'ah', 'sayang', 'game', 'bagus', 'salut', 'game', 'seru', 'banget', 'grafis', 'manja', 'coba']"
Ani Budiono,Very good game I like it,5,2022-02-13 11:12:35,Very good game I like it,very good game i like it,"['very', 'good', 'game', 'i', 'like', 'it']","['sangat', 'bagus', 'game', 'saya', 'suka', 'itu']","['bagus', 'game', 'suka']","['bagus', 'game', 'suka']","['bagus', 'game', 'suka']"
Mi Ramen,Menarik tapi energynya cepet habis dan rechargenya lama bgt,5,2022-02-12 14:39:11,Menarik tapi energynya cepet habis dan rechargenya lama bgt,menarik tapi energynya cepet habis dan rechargenya lama bgt,"['menarik', 'tapi', 'energynya', 'cepet', 'habis', 'dan', 'rechargenya', 'lama', 'bgt']","['menarik', 'tapi', 'energinya', 'cepat', 'habis', 'dan', 'isi', 'ulangnya', 'lama', 'banget']","['menarik', 'energinya', 'cepat', 'habis', 'isi', 'ulangnya', 'banget']","['menarik', 'energinya', 'cepat', 'habis', 'isi', 'ulangnya', 'banget']","['tarik', 'energi', 'cepat', 'habis', 'isi', 'ulang', 'banget']"
Citra Yusticia,Good but why we need to pay for the energy,5,2022-02-12 10:26:38,Good but why we need to pay for the energy,good but why we need to pay for the energy,"['good', 'but', 'why', 'we', 'need', 'to', 'pay', 'for', 'the', 'energy']","['bagus', 'tapi', 'kenapa', 'kami', 'perlu', 'untuk', 'bayar', 'untuk', 'the', 'energi']","['bagus', 'bayar', 'the', 'energi']","['bagus', 'bayar', 'the', 'energi']","['bagus', 'bayar', 'the', 'energi']"
raisah nur aulia nisa 8b,bagusss cuman energi nya cepet habiss+harus nunggu lama bgtt,5,2022-02-12 04:35:58,bagusss cuman energi nya cepet habissharus nunggu lama bgtt,bagusss cuman energi nya cepet habissharus nunggu lama bgtt,"['bagusss', 'cuman', 'energi', 'nya', 'cepet', 'habissharus', 'nunggu', 'lama', 'bgtt']","['bagus', 'cuman', 'energi', 'ya', 'cepat', 'habis', 'harus', 'tunggu', 'lama', 'banget']","['bagus', 'cuman', 'energi', 'cepat', 'habis', 'tunggu', 'banget']","['bagus', 'cuman', 'energi', 'cepat', 'habis', 'tunggu', 'banget']","['bagus', 'cuman', 'energi', 'cepat', 'habis', 'tunggu', 'banget']"
Arina Sutomo,Very good game,5,2022-02-12 03:19:52,Very good game,very good game,"['very', 'good', 'game']","['sangat', 'bagus', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']"
Lueky Spysea,"Trouble fixed, thank you. Can't wait for next adventure ( ꈍᴗꈍ)",5,2022-02-11 08:19:40,Trouble fixed thank you Cant wait for next adventure  ,trouble fixed thank you cant wait for next adventure  ,"['trouble', 'fixed', 'thank', 'you', 'cant', 'wait', 'for', 'next', 'adventure']","['masalah', 'diperbaiki', 'terima', 'kasih', 'you', 'tidak', 'bisa', 'tunggu', 'untuk', 'berikutnya', 'petualangan']","['diperbaiki', 'terima', 'kasih', 'you', 'tidak', 'tunggu', 'petualangan']","['diperbaiki', 'terima', 'kasih', 'you', 'tidak_tunggu', 'petualangan']","['baik', 'terima', 'kasih', 'you', 'tidak tunggu', 'tualang']"
Duta Wiralah,"Misteri dan teka teki, aku suka",5,2022-02-10 11:04:11,Misteri dan teka teki aku suka,misteri dan teka teki aku suka,"['misteri', 'dan', 'teka', 'teki', 'aku', 'suka']","['misteri', 'dan', 'teka', 'teki', 'aku', 'suka']","['misteri', 'teka', 'teki', 'suka']","['misteri', 'teka', 'teki', 'suka']","['misteri', 'teka', 'teki', 'suka']"
Claudia rachel,Help me game this game does not want to burn at the time of the burn command. and suddenly the alcohol is gone what should I do?,3,2022-02-07 10:38:41,Help me game this game does not want to burn at the time of the burn command and suddenly the alcohol is gone what should I do,help me game this game does not want to burn at the time of the burn command and suddenly the alcohol is gone what should i do,"['help', 'me', 'game', 'this', 'game', 'does', 'not', 'want', 'to', 'burn', 'at', 'the', 'time', 'of', 'the', 'burn', 'command', 'and', 'suddenly', 'the', 'alcohol', 'is', 'gone', 'what', 'should', 'i', 'do']","['bantu', 'saya', 'game', 'ini', 'game', 'melakukan', 'tidak', 'ingin', 'untuk', 'burn', 'di', 'the', 'waktu', 'dari', 'the', 'burn', 'perintah', 'dan', 'tiba-tiba', 'the', 'alkohol', 'adalah', 'pergi', 'apa', 'harus', 'saya', 'di']","['bantu', 'game', 'game', 'tidak', 'burn', 'the', 'waktu', 'the', 'burn', 'perintah', 'the', 'alkohol', 'pergi']","['bantu', 'game', 'game', 'tidak_burn', 'the', 'waktu', 'the', 'burn', 'perintah', 'the', 'alkohol', 'pergi']","['bantu', 'game', 'game', 'tidak burn', 'the', 'waktu', 'the', 'burn', 'perintah', 'the', 'alkohol', 'pergi']"
Stevie Jombang,Seru.....,5,2022-02-07 01:59:20,Seru,seru,['seru'],['seru'],['seru'],['seru'],['seru']
Riri Ariyani,Impresive.. I like it the game is was make us turn inside the game,5,2022-02-06 19:55:41,Impresive I like it the game is was make us turn inside the game,impresive i like it the game is was make us turn inside the game,"['impresive', 'i', 'like', 'it', 'the', 'game', 'is', 'was', 'make', 'us', 'turn', 'inside', 'the', 'game']","['impresif', 'saya', 'suka', 'itu', 'the', 'game', 'adalah', 'adalah', 'pakai', 'kami', 'giliran', 'di', 'dalam', 'the', 'game']","['impresif', 'suka', 'the', 'game', 'pakai', 'giliran', 'the', 'game']","['impresif', 'suka', 'the', 'game', 'pakai', 'giliran', 'the', 'game']","['impresif', 'suka', 'the', 'game', 'pakai', 'gilir', 'the', 'game']"
Simson Xeno,Cukup bgslah ud sesuai dg 4 bintang yg aku kasihkan.,4,2022-02-06 15:12:05,Cukup bgslah ud sesuai dg  bintang yg aku kasihkan,cukup bgslah ud sesuai dg  bintang yg aku kasihkan,"['cukup', 'bgslah', 'ud', 'sesuai', 'dg', 'bintang', 'yg', 'aku', 'kasihkan']","['cukup', 'baguslah', 'sudah', 'sesuai', 'dengan', 'bintang', 'yang', 'aku', 'kasihkan']","['baguslah', 'sesuai', 'bintang', 'kasihkan']","['baguslah', 'sesuai', 'bintang', 'kasihkan']","['bagus', 'sesuai', 'bintang', 'kasih']"
Mhd johnny,Minus bahasa indonesian,5,2022-02-06 08:49:10,Minus bahasa indonesian,minus bahasa indonesian,"['minus', 'bahasa', 'indonesian']","['minus', 'bahasa', 'indonesian']","['minus', 'bahasa', 'indonesian']","['minus', 'bahasa', 'indonesian']","['minus', 'bahasa', 'indonesian']"
zain family mz,Ceritanya bikin penasaran.. tpi energinya borosss...,5,2022-02-06 07:14:09,Ceritanya bikin penasaran tpi energinya borosss,ceritanya bikin penasaran tpi energinya borosss,"['ceritanya', 'bikin', 'penasaran', 'tpi', 'energinya', 'borosss']","['ceritanya', 'bikin', 'penasaran', 'tapi', 'energinya', 'boros']","['ceritanya', 'bikin', 'penasaran', 'energinya', 'boros']","['ceritanya', 'bikin', 'penasaran', 'energinya', 'boros']","['cerita', 'bikin', 'penasaran', 'energi', 'boros']"
Siti Rahma Rahma,Is a good game tho i really like it stay safe hope your studios are safe😃,5,2022-02-06 05:55:50,Is a good game tho i really like it stay safe hope your studios are safe,is a good game tho i really like it stay safe hope your studios are safe,"['is', 'a', 'good', 'game', 'tho', 'i', 'really', 'like', 'it', 'stay', 'safe', 'hope', 'your', 'studios', 'are', 'safe']","['adalah', 'a', 'bagus', 'game', 'walaupun', 'saya', 'sangat', 'suka', 'itu', 'tinggal', 'aman', 'harapan', 'your', 'studio-studio', 'adalah', 'aman']","['bagus', 'game', 'suka', 'tinggal', 'aman', 'harapan', 'your', 'studio-studio', 'aman']","['bagus', 'game', 'suka', 'tinggal', 'aman', 'harapan', 'your', 'studio-studio', 'aman']","['bagus', 'game', 'suka', 'tinggal', 'aman', 'harap', 'your', 'studio', 'aman']"
Sadam Husein,Mantappp game ny a,5,2022-02-05 09:36:31,Mantappp game ny a,mantappp game ny a,"['mantappp', 'game', 'ny', 'a']","['mantap', 'game', 'nya', 'a']","['mantap', 'game']","['mantap', 'game']","['mantap', 'game']"
Erlan Pratama,Bagus,5,2022-02-04 17:43:07,Bagus,bagus,['bagus'],['bagus'],['bagus'],['bagus'],['bagus']
andreas trader,seruuuu,5,2022-02-03 15:26:43,seruuuu,seruuuu,['seruuuu'],['seru'],['seru'],['seru'],['seru']
RW55,NICE 👏,5,2022-02-02 10:08:18,NICE ,nice ,['nice'],['bagus'],['bagus'],['bagus'],['bagus']
Dimas Anugrah,"it is very difficult to get energy even though I admit this is the best game but it is very annoying because of energy, I hope development can prioritize customer satisfaction!!!!!",1,2022-02-01 06:14:46,it is very difficult to get energy even though I admit this is the best game but it is very annoying because of energy I hope development can prioritize customer satisfaction,it is very difficult to get energy even though i admit this is the best game but it is very annoying because of energy i hope development can prioritize customer satisfaction,"['it', 'is', 'very', 'difficult', 'to', 'get', 'energy', 'even', 'though', 'i', 'admit', 'this', 'is', 'the', 'best', 'game', 'but', 'it', 'is', 'very', 'annoying', 'because', 'of', 'energy', 'i', 'hope', 'development', 'can', 'prioritize', 'customer', 'satisfaction']","['itu', 'adalah', 'sangat', 'sulit', 'untuk', 'dapat', 'energi', 'bahkan', 'walaupun', 'saya', 'mengakui', 'ini', 'adalah', 'the', 'terbaik', 'game', 'tapi', 'itu', 'adalah', 'sangat', 'menjengkelkan', 'karena', 'dari', 'energi', 'saya', 'harapan', 'pengembangan', 'bisa', 'prioritaskan', 'pelanggan', 'kepuasan']","['sulit', 'energi', 'mengakui', 'the', 'terbaik', 'game', 'menjengkelkan', 'energi', 'harapan', 'pengembangan', 'prioritaskan', 'pelanggan', 'kepuasan']","['sulit', 'energi', 'mengakui', 'the', 'terbaik', 'game', 'menjengkelkan', 'energi', 'harapan', 'pengembangan', 'prioritaskan', 'pelanggan', 'kepuasan']","['sulit', 'energi', 'aku', 'the', 'baik', 'game', 'jengkel', 'energi', 'harap', 'kembang', 'prioritas', 'langgan', 'puas']"
Alpan Nurulyadin,Keren cuman energinya pelit banget 😂 keburu bosen nungguin energi,3,2022-01-31 04:09:17,Keren cuman energinya pelit banget  keburu bosen nungguin energi,keren cuman energinya pelit banget  keburu bosen nungguin energi,"['keren', 'cuman', 'energinya', 'pelit', 'banget', 'keburu', 'bosen', 'nungguin', 'energi']","['keren', 'cuman', 'energinya', 'pelit', 'banget', 'keburu', 'bosan', 'menunggu', 'energi']","['keren', 'cuman', 'energinya', 'pelit', 'banget', 'keburu', 'bosan', 'menunggu', 'energi']","['keren', 'cuman', 'energinya', 'pelit', 'banget', 'keburu', 'bosan', 'menunggu', 'energi']","['keren', 'cuman', 'energi', 'pelit', 'banget', 'keburu', 'bosan', 'tunggu', 'energi']"
Dietje Rachadian,Very nice!!!,5,2022-01-30 16:08:19,Very nice,very nice,"['very', 'nice']","['sangat', 'bagus']",['bagus'],['bagus'],['bagus']
siti komariah,"Game yang sangat menyenang kan,penuh misteri dan harus teliti.",5,2022-01-30 14:50:20,Game yang sangat menyenang kanpenuh misteri dan harus teliti,game yang sangat menyenang kanpenuh misteri dan harus teliti,"['game', 'yang', 'sangat', 'menyenang', 'kanpenuh', 'misteri', 'dan', 'harus', 'teliti']","['game', 'yang', 'sangat', 'menyenangkan', 'kan', 'penuh', 'misteri', 'dan', 'harus', 'teliti']","['game', 'menyenangkan', 'penuh', 'misteri', 'teliti']","['game', 'menyenangkan', 'penuh', 'misteri', 'teliti']","['game', 'senang', 'penuh', 'misteri', 'teliti']"
Andry Thio,Game sangat seru dan menarik,5,2022-01-29 17:33:16,Game sangat seru dan menarik,game sangat seru dan menarik,"['game', 'sangat', 'seru', 'dan', 'menarik']","['game', 'sangat', 'seru', 'dan', 'menarik']","['game', 'seru', 'menarik']","['game', 'seru', 'menarik']","['game', 'seru', 'tarik']"
Putri Delvina,Good game,5,2022-01-26 12:40:18,Good game,good game,"['good', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']"
Junet Habibi,Game nya menegangkan. Hanya saja terbatas dengan energy dan mengisinya terlalu lama,4,2022-01-26 05:14:02,Game nya menegangkan Hanya saja terbatas dengan energy dan mengisinya terlalu lama,game nya menegangkan hanya saja terbatas dengan energy dan mengisinya terlalu lama,"['game', 'nya', 'menegangkan', 'hanya', 'saja', 'terbatas', 'dengan', 'energy', 'dan', 'mengisinya', 'terlalu', 'lama']","['game', 'ya', 'menegangkan', 'hanya', 'saja', 'terbatas', 'dengan', 'energi', 'dan', 'mengisinya', 'terlalu', 'lama']","['game', 'menegangkan', 'terbatas', 'energi', 'mengisinya']","['game', 'menegangkan', 'terbatas', 'energi', 'mengisinya']","['game', 'tegang', 'batas', 'energi', 'isi']"
muhamad razi,Top,5,2022-01-23 15:43:55,Top,top,['top'],['top'],['top'],['top'],['top']
didi darmawan,Mantul,5,2022-01-23 14:15:27,Mantul,mantul,['mantul'],['mantul'],['mantul'],['mantul'],['mantul']
Muh. Yusuf,Ok,3,2022-01-23 11:33:53,Ok,ok,['ok'],['ok'],['ok'],['ok'],['ok']
erma lusiana,Good,5,2022-01-23 09:09:14,Good,good,['good'],['bagus'],['bagus'],['bagus'],['bagus']
Diana A,Lama banget sih donlotya,5,2022-01-23 06:12:52,Lama banget sih donlotya,lama banget sih donlotya,"['lama', 'banget', 'sih', 'donlotya']","['lama', 'banget', 'sih', 'unduhnya']","['banget', 'sih', 'unduhnya']","['banget', 'sih', 'unduhnya']","['banget', 'sih', 'unduh']"
Yugi Fako,"Suka banget sama game ini. Ceritanya menarik, ilustrasinya juga. Ada voice over, jadi bisa sekalian belajar listening dari sini. Sayangnya, buat dapetin energi itu cukup susah. Gak ada lagi nonton iklan buat dapetin energi. Sedih banget😔 Tolong kembaliin fitur itu ya🤞",4,2022-01-21 23:47:05,Suka banget sama game ini Ceritanya menarik ilustrasinya juga Ada voice over jadi bisa sekalian belajar listening dari sini Sayangnya buat dapetin energi itu cukup susah Gak ada lagi nonton iklan buat dapetin energi Sedih banget Tolong kembaliin fitur itu ya,suka banget sama game ini ceritanya menarik ilustrasinya juga ada voice over jadi bisa sekalian belajar listening dari sini sayangnya buat dapetin energi itu cukup susah gak ada lagi nonton iklan buat dapetin energi sedih banget tolong kembaliin fitur itu ya,"['suka', 'banget', 'sama', 'game', 'ini', 'ceritanya', 'menarik', 'ilustrasinya', 'juga', 'ada', 'voice', 'over', 'jadi', 'bisa', 'sekalian', 'belajar', 'listening', 'dari', 'sini', 'sayangnya', 'buat', 'dapetin', 'energi', 'itu', 'cukup', 'susah', 'gak', 'ada', 'lagi', 'nonton', 'iklan', 'buat', 'dapetin', 'energi', 'sedih', 'banget', 'tolong', 'kembaliin', 'fitur', 'itu', 'ya']","['suka', 'banget', 'sama', 'game', 'ini', 'ceritanya', 'menarik', 'ilustrasinya', 'juga', 'ada', 'suara', 'selesai', 'jadi', 'bisa', 'sekalian', 'belajar', 'mendengarkan', 'dari', 'sini', 'sayangnya', 'buat', 'mendapatkan', 'energi', 'itu', 'cukup', 'susah', 'tidak', 'ada', 'lagi', 'menonton', 'iklan', 'buat', 'mendapatkan', 'energi', 'sedih', 'banget', 'tolong', 'kembalikan', 'fitur', 'itu', 'ya']","['suka', 'banget', 'game', 'ceritanya', 'menarik', 'ilustrasinya', 'suara', 'selesai', 'belajar', 'mendengarkan', 'sayangnya', 'energi', 'susah', 'tidak', 'menonton', 'iklan', 'energi', 'sedih', 'banget', 'tolong', 'kembalikan', 'fitur']","['suka', 'banget', 'game', 'ceritanya', 'menarik', 'ilustrasinya', 'suara', 'selesai', 'belajar', 'mendengarkan', 'sayangnya', 'energi', 'susah', 'tidak_menonton', 'iklan', 'energi', 'sedih', 'banget', 'tolong', 'kembalikan', 'fitur']","['suka', 'banget', 'game', 'cerita', 'tarik', 'ilustrasi', 'suara', 'selesai', 'ajar', 'dengar', 'sayang', 'energi', 'susah', 'tidak tonton', 'iklan', 'energi', 'sedih', 'banget', 'tolong', 'kembali', 'fitur']"
Allusia Chrysty,good game. tapi server sering error.,4,2022-01-21 00:33:45,good game tapi server sering error,good game tapi server sering error,"['good', 'game', 'tapi', 'server', 'sering', 'error']","['bagus', 'game', 'tapi', 'server', 'sering', 'error']","['bagus', 'game', 'server', 'error']","['bagus', 'game', 'server', 'error']","['bagus', 'game', 'server', 'error']"
Alfin Afriza Maulidin,Good game,5,2022-01-20 06:02:36,Good game,good game,"['good', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']"
D' Niko,Learning,5,2022-01-19 19:27:04,Learning,learning,['learning'],['belajar'],['belajar'],['belajar'],['ajar']
Alula Putri,Game ny keren.. Ngk ngebosenin..pokoknya seru..ngk rugi kalo nyoba..top markotop..👍👍👍👍👍,5,2022-01-19 08:26:53,Game ny keren Ngk ngeboseninpokoknya serungk rugi kalo nyobatop markotop,game ny keren ngk ngeboseninpokoknya serungk rugi kalo nyobatop markotop,"['game', 'ny', 'keren', 'ngk', 'ngeboseninpokoknya', 'serungk', 'rugi', 'kalo', 'nyobatop', 'markotop']","['game', 'nya', 'keren', 'tidak', 'membosankan', 'pokoknya', 'seru', 'tidak', 'rugi', 'kalau', 'coba', 'top', 'terbaik']","['game', 'keren', 'tidak', 'membosankan', 'pokoknya', 'seru', 'tidak', 'rugi', 'coba', 'top', 'terbaik']","['game', 'keren', 'tidak_membosankan', 'pokoknya', 'seru', 'tidak_rugi', 'coba', 'top', 'terbaik']","['game', 'keren', 'tidak bosan', 'pokok', 'seru', 'tidak rugi', 'coba', 'top', 'baik']"
Taufiq Aryanto,Good game,5,2022-01-18 13:22:15,Good game,good game,"['good', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']"
Liana,Seru! Hanya saja energix cepat habis,4,2022-01-17 12:34:00,Seru Hanya saja energix cepat habis,seru hanya saja energix cepat habis,"['seru', 'hanya', 'saja', 'energix', 'cepat', 'habis']","['seru', 'hanya', 'saja', 'energinya', 'cepat', 'habis']","['seru', 'energinya', 'cepat', 'habis']","['seru', 'energinya', 'cepat', 'habis']","['seru', 'energi', 'cepat', 'habis']"
hengky hamdani,game bagus,5,2022-01-17 12:28:59,game bagus,game bagus,"['game', 'bagus']","['game', 'bagus']","['game', 'bagus']","['game', 'bagus']","['game', 'bagus']"
yuliani safitri,Good game,5,2022-01-16 15:50:07,Good game,good game,"['good', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']"
Agum Alfarezy,Nice game,4,2022-01-16 07:52:43,Nice game,nice game,"['nice', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']","['bagus', 'game']"
Yogi Satria,sangat menarik dan sangat melatih otak heheheh memecahkan misteri itu sangat seru!!,5,2022-01-14 07:28:16,sangat menarik dan sangat melatih otak heheheh memecahkan misteri itu sangat seru,sangat menarik dan sangat melatih otak heheheh memecahkan misteri itu sangat seru,"['sangat', 'menarik', 'dan', 'sangat', 'melatih', 'otak', 'heheheh', 'memecahkan', 'misteri', 'itu', 'sangat', 'seru']","['sangat', 'menarik', 'dan', 'sangat', 'melatih', 'otak', 'heheheh', 'memecahkan', 'misteri', 'itu', 'sangat', 'seru']","['menarik', 'melatih', 'otak', 'heheheh', 'memecahkan', 'misteri', 'seru']","['menarik', 'melatih', 'otak', 'heheheh', 'memecahkan', 'misteri', 'seru']","['tarik', 'latih', 'otak', 'heheheh', 'pecah', 'misteri', 'seru']"
ISMAIL HUZAEN,Good,5,2022-01-12 01:35:52,Good,good,['good'],['bagus'],['bagus'],['bagus'],['bagus']
Resti Anugrah saptayani,Keren,5,2022-01-11 15:53:35,Keren,keren,['keren'],['keren'],['keren'],['keren'],['keren']
Saiful Bahri,Ok...lah,5,2022-01-11 12:59:48,Oklah,oklah,['oklah'],['ok'],['ok'],['ok'],['ok']
Antonius Hendra,Be better,4,2022-01-11 10:44:56,Be better,be better,"['be', 'better']","['be', 'lebih', 'baik']",['be'],['be'],['be']
Pajeko Jeko,Ok good,5,2022-01-11 09:50:05,Ok good,ok good,"['ok', 'good']","['ok', 'bagus']","['ok', 'bagus']","['ok', 'bagus']","['ok', 'bagus']"
Dee Seldjatem,Iklan u dpt energi tp bgt selesai iklan energix lm br terisi,5,2022-01-11 07:49:33,Iklan u dpt energi tp bgt selesai iklan energix lm br terisi,iklan u dpt energi tp bgt selesai iklan energix lm br terisi,"['iklan', 'u', 'dpt', 'energi', 'tp', 'bgt', 'selesai', 'iklan', 'energix', 'lm', 'br', 'terisi']","['iklan', 'kamu', 'dapat', 'energi', 'tapi', 'banget', 'selesai', 'iklan', 'energinya', 'lama', 'baru', 'terisi']","['iklan', 'energi', 'banget', 'selesai', 'iklan', 'energinya', 'terisi']","['iklan', 'energi', 'banget', 'selesai', 'iklan', 'energinya', 'terisi']","['iklan', 'energi', 'banget', 'selesai', 'iklan', 'energi', 'isi']"
Muhammad Habibi,😘😎🤩👸👸👸👍👍👍👍👍👌,5,2022-01-11 00:20:45,,,[],[],[],[],[]
